example_id                                                           | status  | run_time        |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:4:1]          | passed  | 0.00006 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:4:2]          | passed  | 0.00003 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:5:1]          | passed  | 0.00094 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:5:2]          | passed  | 0.00023 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:6:1]          | passed  | 0.54028 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:6:2]          | passed  | 0.00032 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:6:3]          | passed  | 0.00007 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:6:4]          | passed  | 0.00014 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:7:1]          | passed  | 0.00012 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:8:1]          | passed  | 0.00018 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:9:1]          | passed  | 0.00013 seconds |
./spec/browser_benchmark_tool/safety_manager_spec.rb[1:10:1]         | passed  | 0.00012 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:1:1]             | passed  | 0.01432 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:1:2]             | pending | 0.00002 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:2:1]             | passed  | 0.82432 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:2:2]             | passed  | 1.2 seconds     |
./spec/browser_benchmark_tool/test_server_spec.rb[1:3:1]             | passed  | 1.33 seconds    |
./spec/browser_benchmark_tool/test_server_spec.rb[1:4:1]             | passed  | 0.01087 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:5:1]             | passed  | 0.83429 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:6:1]             | passed  | 0.83706 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:6:2]             | passed  | 1.26 seconds    |
./spec/browser_benchmark_tool/test_server_spec.rb[1:6:3]             | passed  | 0.96495 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:6:4]             | passed  | 0.83098 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:6:5]             | passed  | 0.82652 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:7:1]             | passed  | 0.32576 seconds |
./spec/browser_benchmark_tool/test_server_spec.rb[1:8:1]             | passed  | 0.82961 seconds |
./spec/browser_benchmark_tool_spec.rb[1:1]                           | passed  | 0.00021 seconds |
./spec/browser_benchmark_tool_spec.rb[1:2]                           | passed  | 0.00272 seconds |
